COUNTYNAME,人口數(人),人口密度%,扶養比%,扶幼比%,扶老比%,老化指數%,性比例%
新北市,3961374,1898.96,29.92,18.97,10.96,57.77,98.28
臺北市,2695649,9803.84,37.39,19.96,17.43,87.3,92.96
臺中市,2712948,1193,34.23,22.47,11.75,52.3,99
臺南市,1883493,831.41,34.82,19.17,15.64,81.58,101.25
高雄市,2777461,931,32.85,19.02,13.83,72.73,100.3
宜蘭縣,458784,209.94,38.66,20.45,18.21,89.07,103.73
桃園縣,2054260,1663.04,34.99,23.76,11.23,47.26,101.47
新竹縣,536111,366.05,41.95,26.25,15.71,59.84,105.67
苗栗縣,566918,307.22,40.28,21.49,18.79,87.45,107.63
彰化縣,1292126,1081.89,38.79,21.96,16.83,76.63,105.21
南投縣,515081,127.76,38.78,19.82,18.96,95.63,106
雲林縣,706688,526.72,42.7,21.02,21.68,103.15,109.14
嘉義縣,526028,276.19,41.05,18.89,22.16,117.34,108.92
屏東縣,849326,310.47,36.27,18.92,17.35,91.69,105.74
臺東縣,224931,63.98,38.83,20.61,18.21,88.34,109.33
花蓮縣,333531,73.24,37.28,19.94,17.34,86.97,105.93
澎湖縣,101482,716,38.19,18.22,19.97,109.61,105.07
基隆市,373597,2872.12,32.61,17.89,14.72,82.24,101.53
新竹市,431029,3362.97,39.27,26.18,13.09,50,98.6
嘉義市,270826,4554.74,38.88,23.51,15.37,65.39,96.72
金門縣,126156,691.38,32.52,16.6,15.92,95.93,103
連江縣,12481,593.96,31,18.61,12.39,66.55,136.77